deg,cl,cd,cm
-6.00000,0.03851,0.04457,-0.14335
-5.50000,0.06591,0.02356,-0.15159
-5.00000,0.12848,0.02117,-0.15309
-4.50000,0.18339,0.01929,-0.15283
-4.00000,0.24036,0.01798,-0.15270
-3.50000,0.29774,0.01695,-0.15261
-2.50000,0.41091,0.01526,-0.15228
-2.00000,0.46737,0.01474,-0.15204
-1.50000,0.52354,0.01428,-0.15187
-1.00000,0.57702,0.01400,-0.15126
-0.50000,0.63061,0.01375,-0.15076
0.00000,0.68391,0.01346,-0.15031
1.50000,0.84410,0.01280,-0.14805
2.00000,0.89805,0.01323,-0.14774
2.50000,0.95328,0.01370,-0.14771
3.00000,1.00534,0.01415,-0.14714
3.50000,1.05779,0.01468,-0.14670
4.00000,1.11274,0.01523,-0.14673
4.50000,1.16373,0.01576,-0.14607
5.00000,1.21543,0.01638,-0.14559
5.50000,1.26953,0.01695,-0.14553
6.00000,1.31713,0.01761,-0.14436
6.50000,1.37073,0.01828,-0.14430
7.00000,1.41736,0.01891,-0.14296
7.50000,1.46466,0.01965,-0.14181
8.00000,1.51777,0.02028,-0.14167
8.50000,1.55631,0.02097,-0.13891
9.00000,1.59626,0.02160,-0.13640
9.50000,1.62947,0.02203,-0.13254
